region,category,parent,n_descendants,inclusive_query,exclusive_query,inclusive_count,exclusive_count,inclusive_url,exclusive_url,query_date,log10_inclusive_count_p1,norm_inclusive_count,log10_exclusive_count_p1,norm_exclusive_count
supramarginal gyrus,sensory cortex,,0,"((""supramarginal gyrus""[tiab])) AND (""2015""[PDAT] : ""2025""[PDAT])","((""supramarginal gyrus""[tiab])) AND (""2015""[PDAT] : ""2025""[PDAT])",1713,1713,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22supramarginal+gyrus%22%5Btiab%5D%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22supramarginal+gyrus%22%5Btiab%5D%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,2026-04-28,3.234,0.5,3.234,0.5128
anterior cingulate cortex,limbic cortex,cingulate cortex,0,"((""anterior cingulate cortex""[tiab] OR (""ACC""[tiab] AND (cingulate[tiab])))) AND (""2015""[PDAT] : ""2025""[PDAT])","((""anterior cingulate cortex""[tiab] OR (""ACC""[tiab] AND (cingulate[tiab])))) AND (""2015""[PDAT] : ""2025""[PDAT])",9073,9073,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22anterior+cingulate+cortex%22%5Btiab%5D+OR+%28%22ACC%22%5Btiab%5D+AND+%28cingulate%5Btiab%5D%29%29%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22anterior+cingulate+cortex%22%5Btiab%5D+OR+%28%22ACC%22%5Btiab%5D+AND+%28cingulate%5Btiab%5D%29%29%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,2026-04-28,3.9578,0.7275,3.9578,0.7461
posterior cingulate cortex,limbic cortex,cingulate cortex,0,"((""posterior cingulate cortex""[tiab] OR (""PCC""[tiab] AND (cingulate[tiab])))) AND (""2015""[PDAT] : ""2025""[PDAT])","((""posterior cingulate cortex""[tiab] OR (""PCC""[tiab] AND (cingulate[tiab])))) AND (""2015""[PDAT] : ""2025""[PDAT])",3127,3127,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22posterior+cingulate+cortex%22%5Btiab%5D+OR+%28%22PCC%22%5Btiab%5D+AND+%28cingulate%5Btiab%5D%29%29%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22posterior+cingulate+cortex%22%5Btiab%5D+OR+%28%22PCC%22%5Btiab%5D+AND+%28cingulate%5Btiab%5D%29%29%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,2026-04-28,3.4953,0.5821,3.4953,0.597
cingulate cortex,limbic cortex,,2,"((""cingulate cortex""[tiab])) AND (""2015""[PDAT] : ""2025""[PDAT])","(((""cingulate cortex""[tiab])) NOT ((""posterior cingulate cortex""[tiab] OR (""PCC""[tiab] AND (cingulate[tiab]))) OR (""anterior cingulate cortex""[tiab] OR (""ACC""[tiab] AND (cingulate[tiab]))))) AND (""2015""[PDAT] : ""2025""[PDAT])",13031,1718,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22cingulate+cortex%22%5Btiab%5D%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%28%22cingulate+cortex%22%5Btiab%5D%29%29+NOT+%28%28%22posterior+cingulate+cortex%22%5Btiab%5D+OR+%28%22PCC%22%5Btiab%5D+AND+%28cingulate%5Btiab%5D%29%29%29+OR+%28%22anterior+cingulate+cortex%22%5Btiab%5D+OR+%28%22ACC%22%5Btiab%5D+AND+%28cingulate%5Btiab%5D%29%29%29%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,2026-04-28,4.115,0.7769,3.2353,0.5132
retrosplenial cortex,limbic cortex,,0,"((""retrosplenial cortex""[tiab] OR (""RSC""[tiab] AND (retrosplenial[tiab])))) AND (""2015""[PDAT] : ""2025""[PDAT])","((""retrosplenial cortex""[tiab] OR (""RSC""[tiab] AND (retrosplenial[tiab])))) AND (""2015""[PDAT] : ""2025""[PDAT])",887,887,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22retrosplenial+cortex%22%5Btiab%5D+OR+%28%22RSC%22%5Btiab%5D+AND+%28retrosplenial%5Btiab%5D%29%29%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22retrosplenial+cortex%22%5Btiab%5D+OR+%28%22RSC%22%5Btiab%5D+AND+%28retrosplenial%5Btiab%5D%29%29%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,2026-04-28,2.9484,0.4102,2.9484,0.4207
insular cortex,limbic cortex,,0,"((""insular cortex""[tiab] OR ""insula""[tiab])) AND (""2015""[PDAT] : ""2025""[PDAT])","((""insular cortex""[tiab] OR ""insula""[tiab])) AND (""2015""[PDAT] : ""2025""[PDAT])",12723,12723,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22insular+cortex%22%5Btiab%5D+OR+%22insula%22%5Btiab%5D%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22insular+cortex%22%5Btiab%5D+OR+%22insula%22%5Btiab%5D%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,2026-04-28,4.1046,0.7736,4.1046,0.7935
entorhinal cortex,limbic cortex,,0,"((""entorhinal cortex""[tiab] OR (""EC""[tiab] AND (entorhinal[tiab])))) AND (""2015""[PDAT] : ""2025""[PDAT])","((""entorhinal cortex""[tiab] OR (""EC""[tiab] AND (entorhinal[tiab])))) AND (""2015""[PDAT] : ""2025""[PDAT])",3512,3512,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22entorhinal+cortex%22%5Btiab%5D+OR+%28%22EC%22%5Btiab%5D+AND+%28entorhinal%5Btiab%5D%29%29%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22entorhinal+cortex%22%5Btiab%5D+OR+%28%22EC%22%5Btiab%5D+AND+%28entorhinal%5Btiab%5D%29%29%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,2026-04-28,3.5457,0.5979,3.5457,0.6133
perirhinal cortex,limbic cortex,,0,"((""perirhinal cortex""[tiab])) AND (""2015""[PDAT] : ""2025""[PDAT])","((""perirhinal cortex""[tiab])) AND (""2015""[PDAT] : ""2025""[PDAT])",579,579,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22perirhinal+cortex%22%5Btiab%5D%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22perirhinal+cortex%22%5Btiab%5D%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,2026-04-28,2.7634,0.3521,2.7634,0.3611
parahippocampal cortex,limbic cortex,,0,"((""parahippocampal cortex""[tiab])) AND (""2015""[PDAT] : ""2025""[PDAT])","((""parahippocampal cortex""[tiab])) AND (""2015""[PDAT] : ""2025""[PDAT])",398,398,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22parahippocampal+cortex%22%5Btiab%5D%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22parahippocampal+cortex%22%5Btiab%5D%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,2026-04-28,2.601,0.301,2.601,0.3087
piriform cortex,limbic cortex,,0,"((""piriform cortex""[tiab])) AND (""2015""[PDAT] : ""2025""[PDAT])","((""piriform cortex""[tiab])) AND (""2015""[PDAT] : ""2025""[PDAT])",887,887,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22piriform+cortex%22%5Btiab%5D%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22piriform+cortex%22%5Btiab%5D%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,2026-04-28,2.9484,0.4102,2.9484,0.4207
hippocampus,hippocampal,,5,"((""hippocampus""[tiab] OR ""hippocampal formation""[tiab])) AND (""2015""[PDAT] : ""2025""[PDAT])","(((""hippocampus""[tiab] OR ""hippocampal formation""[tiab])) NOT ((""subiculum""[tiab]) OR (""hippocampal CA3""[tiab] OR ""CA3 region""[tiab] OR ""CA3 pyramidal""[tiab] OR ""CA3 neurons""[tiab] OR ""CA3 of the hippocampus""[tiab] OR ""CA3 area""[tiab] OR ""CA3 subfield""[tiab] OR (""CA3""[tiab] AND (""place cell""[tiab] OR ""place cells""[tiab] OR ""social memory""[tiab] OR ""pyramidal layer""[tiab] OR ""stratum pyramidale""[tiab] OR ""stratum radiatum""[tiab] OR ""stratum oriens""[tiab] OR ""dentate gyrus""[tiab] OR ""schaffer collateral""[tiab] OR ""schaffer collaterals""[tiab] OR ""mossy fiber""[tiab] OR ""mossy fibers""[tiab] OR ""perforant path""[tiab] OR ""hippocampal subfield""[tiab] OR ""hippocampal subfields""[tiab]))) OR (""hippocampal CA2""[tiab] OR ""CA2 region""[tiab] OR ""CA2 of the hippocampus""[tiab] OR ""CA2 pyramidal""[tiab] OR ""CA2 neurons""[tiab] OR ""CA2 area""[tiab] OR ""CA2 subfield""[tiab] OR (""CA2""[tiab] AND (""place cell""[tiab] OR ""place cells""[tiab] OR ""social memory""[tiab] OR ""pyramidal layer""[tiab] OR ""stratum pyramidale""[tiab] OR ""stratum radiatum""[tiab] OR ""stratum oriens""[tiab] OR ""dentate gyrus""[tiab] OR ""schaffer collateral""[tiab] OR ""schaffer collaterals""[tiab] OR ""mossy fiber""[tiab] OR ""mossy fibers""[tiab] OR ""perforant path""[tiab] OR ""hippocampal subfield""[tiab] OR ""hippocampal subfields""[tiab]))) OR (""hippocampal CA1""[tiab] OR ""CA1 region""[tiab] OR ""CA1 pyramidal""[tiab] OR ""CA1 neurons""[tiab] OR ""CA1 of the hippocampus""[tiab] OR ""CA1 area""[tiab] OR ""CA1 subfield""[tiab] OR (""CA1""[tiab] AND (""place cell""[tiab] OR ""place cells""[tiab] OR ""social memory""[tiab] OR ""pyramidal layer""[tiab] OR ""stratum pyramidale""[tiab] OR ""stratum radiatum""[tiab] OR ""stratum oriens""[tiab] OR ""dentate gyrus""[tiab] OR ""schaffer collateral""[tiab] OR ""schaffer collaterals""[tiab] OR ""mossy fiber""[tiab] OR ""mossy fibers""[tiab] OR ""perforant path""[tiab] OR ""hippocampal subfield""[tiab] OR ""hippocampal subfields""[tiab]))) OR (""dentate gyrus""[tiab]))) AND (""2015""[PDAT] : ""2025""[PDAT])",66791,55626,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22hippocampus%22%5Btiab%5D+OR+%22hippocampal+formation%22%5Btiab%5D%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%28%22hippocampus%22%5Btiab%5D+OR+%22hippocampal+formation%22%5Btiab%5D%29%29+NOT+%28%28%22subiculum%22%5Btiab%5D%29+OR+%28%22hippocampal+CA3%22%5Btiab%5D+OR+%22CA3+region%22%5Btiab%5D+OR+%22CA3+pyramidal%22%5Btiab%5D+OR+%22CA3+neurons%22%5Btiab%5D+OR+%22CA3+of+the+hippocampus%22%5Btiab%5D+OR+%22CA3+area%22%5Btiab%5D+OR+%22CA3+subfield%22%5Btiab%5D+OR+%28%22CA3%22%5Btiab%5D+AND+%28%22place+cell%22%5Btiab%5D+OR+%22place+cells%22%5Btiab%5D+OR+%22social+memory%22%5Btiab%5D+OR+%22pyramidal+layer%22%5Btiab%5D+OR+%22stratum+pyramidale%22%5Btiab%5D+OR+%22stratum+radiatum%22%5Btiab%5D+OR+%22stratum+oriens%22%5Btiab%5D+OR+%22dentate+gyrus%22%5Btiab%5D+OR+%22schaffer+collateral%22%5Btiab%5D+OR+%22schaffer+collaterals%22%5Btiab%5D+OR+%22mossy+fiber%22%5Btiab%5D+OR+%22mossy+fibers%22%5Btiab%5D+OR+%22perforant+path%22%5Btiab%5D+OR+%22hippocampal+subfield%22%5Btiab%5D+OR+%22hippocampal+subfields%22%5Btiab%5D%29%29%29+OR+%28%22hippocampal+CA2%22%5Btiab%5D+OR+%22CA2+region%22%5Btiab%5D+OR+%22CA2+of+the+hippocampus%22%5Btiab%5D+OR+%22CA2+pyramidal%22%5Btiab%5D+OR+%22CA2+neurons%22%5Btiab%5D+OR+%22CA2+area%22%5Btiab%5D+OR+%22CA2+subfield%22%5Btiab%5D+OR+%28%22CA2%22%5Btiab%5D+AND+%28%22place+cell%22%5Btiab%5D+OR+%22place+cells%22%5Btiab%5D+OR+%22social+memory%22%5Btiab%5D+OR+%22pyramidal+layer%22%5Btiab%5D+OR+%22stratum+pyramidale%22%5Btiab%5D+OR+%22stratum+radiatum%22%5Btiab%5D+OR+%22stratum+oriens%22%5Btiab%5D+OR+%22dentate+gyrus%22%5Btiab%5D+OR+%22schaffer+collateral%22%5Btiab%5D+OR+%22schaffer+collaterals%22%5Btiab%5D+OR+%22mossy+fiber%22%5Btiab%5D+OR+%22mossy+fibers%22%5Btiab%5D+OR+%22perforant+path%22%5Btiab%5D+OR+%22hippocampal+subfield%22%5Btiab%5D+OR+%22hippocampal+subfields%22%5Btiab%5D%29%29%29+OR+%28%22hippocampal+CA1%22%5Btiab%5D+OR+%22CA1+region%22%5Btiab%5D+OR+%22CA1+pyramidal%22%5Btiab%5D+OR+%22CA1+neurons%22%5Btiab%5D+OR+%22CA1+of+the+hippocampus%22%5Btiab%5D+OR+%22CA1+area%22%5Btiab%5D+OR+%22CA1+subfield%22%5Btiab%5D+OR+%28%22CA1%22%5Btiab%5D+AND+%28%22place+cell%22%5Btiab%5D+OR+%22place+cells%22%5Btiab%5D+OR+%22social+memory%22%5Btiab%5D+OR+%22pyramidal+layer%22%5Btiab%5D+OR+%22stratum+pyramidale%22%5Btiab%5D+OR+%22stratum+radiatum%22%5Btiab%5D+OR+%22stratum+oriens%22%5Btiab%5D+OR+%22dentate+gyrus%22%5Btiab%5D+OR+%22schaffer+collateral%22%5Btiab%5D+OR+%22schaffer+collaterals%22%5Btiab%5D+OR+%22mossy+fiber%22%5Btiab%5D+OR+%22mossy+fibers%22%5Btiab%5D+OR+%22perforant+path%22%5Btiab%5D+OR+%22hippocampal+subfield%22%5Btiab%5D+OR+%22hippocampal+subfields%22%5Btiab%5D%29%29%29+OR+%28%22dentate+gyrus%22%5Btiab%5D%29%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,2026-04-28,4.8247,1.0,4.7453,1.0
dentate gyrus,hippocampal,hippocampus,0,"((""dentate gyrus""[tiab])) AND (""2015""[PDAT] : ""2025""[PDAT])","((""dentate gyrus""[tiab])) AND (""2015""[PDAT] : ""2025""[PDAT])",7558,7558,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22dentate+gyrus%22%5Btiab%5D%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22dentate+gyrus%22%5Btiab%5D%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,2026-04-28,3.8785,0.7026,3.8785,0.7205
CA1,hippocampal,hippocampus,0,"((""hippocampal CA1""[tiab] OR ""CA1 region""[tiab] OR ""CA1 pyramidal""[tiab] OR ""CA1 neurons""[tiab] OR ""CA1 of the hippocampus""[tiab] OR ""CA1 area""[tiab] OR ""CA1 subfield""[tiab] OR (""CA1""[tiab] AND (""place cell""[tiab] OR ""place cells""[tiab] OR ""social memory""[tiab] OR ""pyramidal layer""[tiab] OR ""stratum pyramidale""[tiab] OR ""stratum radiatum""[tiab] OR ""stratum oriens""[tiab] OR ""dentate gyrus""[tiab] OR ""schaffer collateral""[tiab] OR ""schaffer collaterals""[tiab] OR ""mossy fiber""[tiab] OR ""mossy fibers""[tiab] OR ""perforant path""[tiab] OR ""hippocampal subfield""[tiab] OR ""hippocampal subfields""[tiab])))) AND (""2015""[PDAT] : ""2025""[PDAT])","((""hippocampal CA1""[tiab] OR ""CA1 region""[tiab] OR ""CA1 pyramidal""[tiab] OR ""CA1 neurons""[tiab] OR ""CA1 of the hippocampus""[tiab] OR ""CA1 area""[tiab] OR ""CA1 subfield""[tiab] OR (""CA1""[tiab] AND (""place cell""[tiab] OR ""place cells""[tiab] OR ""social memory""[tiab] OR ""pyramidal layer""[tiab] OR ""stratum pyramidale""[tiab] OR ""stratum radiatum""[tiab] OR ""stratum oriens""[tiab] OR ""dentate gyrus""[tiab] OR ""schaffer collateral""[tiab] OR ""schaffer collaterals""[tiab] OR ""mossy fiber""[tiab] OR ""mossy fibers""[tiab] OR ""perforant path""[tiab] OR ""hippocampal subfield""[tiab] OR ""hippocampal subfields""[tiab])))) AND (""2015""[PDAT] : ""2025""[PDAT])",8334,8334,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22hippocampal+CA1%22%5Btiab%5D+OR+%22CA1+region%22%5Btiab%5D+OR+%22CA1+pyramidal%22%5Btiab%5D+OR+%22CA1+neurons%22%5Btiab%5D+OR+%22CA1+of+the+hippocampus%22%5Btiab%5D+OR+%22CA1+area%22%5Btiab%5D+OR+%22CA1+subfield%22%5Btiab%5D+OR+%28%22CA1%22%5Btiab%5D+AND+%28%22place+cell%22%5Btiab%5D+OR+%22place+cells%22%5Btiab%5D+OR+%22social+memory%22%5Btiab%5D+OR+%22pyramidal+layer%22%5Btiab%5D+OR+%22stratum+pyramidale%22%5Btiab%5D+OR+%22stratum+radiatum%22%5Btiab%5D+OR+%22stratum+oriens%22%5Btiab%5D+OR+%22dentate+gyrus%22%5Btiab%5D+OR+%22schaffer+collateral%22%5Btiab%5D+OR+%22schaffer+collaterals%22%5Btiab%5D+OR+%22mossy+fiber%22%5Btiab%5D+OR+%22mossy+fibers%22%5Btiab%5D+OR+%22perforant+path%22%5Btiab%5D+OR+%22hippocampal+subfield%22%5Btiab%5D+OR+%22hippocampal+subfields%22%5Btiab%5D%29%29%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22hippocampal+CA1%22%5Btiab%5D+OR+%22CA1+region%22%5Btiab%5D+OR+%22CA1+pyramidal%22%5Btiab%5D+OR+%22CA1+neurons%22%5Btiab%5D+OR+%22CA1+of+the+hippocampus%22%5Btiab%5D+OR+%22CA1+area%22%5Btiab%5D+OR+%22CA1+subfield%22%5Btiab%5D+OR+%28%22CA1%22%5Btiab%5D+AND+%28%22place+cell%22%5Btiab%5D+OR+%22place+cells%22%5Btiab%5D+OR+%22social+memory%22%5Btiab%5D+OR+%22pyramidal+layer%22%5Btiab%5D+OR+%22stratum+pyramidale%22%5Btiab%5D+OR+%22stratum+radiatum%22%5Btiab%5D+OR+%22stratum+oriens%22%5Btiab%5D+OR+%22dentate+gyrus%22%5Btiab%5D+OR+%22schaffer+collateral%22%5Btiab%5D+OR+%22schaffer+collaterals%22%5Btiab%5D+OR+%22mossy+fiber%22%5Btiab%5D+OR+%22mossy+fibers%22%5Btiab%5D+OR+%22perforant+path%22%5Btiab%5D+OR+%22hippocampal+subfield%22%5Btiab%5D+OR+%22hippocampal+subfields%22%5Btiab%5D%29%29%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,2026-04-28,3.9209,0.7159,3.9209,0.7342
CA2,hippocampal,hippocampus,0,"((""hippocampal CA2""[tiab] OR ""CA2 region""[tiab] OR ""CA2 of the hippocampus""[tiab] OR ""CA2 pyramidal""[tiab] OR ""CA2 neurons""[tiab] OR ""CA2 area""[tiab] OR ""CA2 subfield""[tiab] OR (""CA2""[tiab] AND (""place cell""[tiab] OR ""place cells""[tiab] OR ""social memory""[tiab] OR ""pyramidal layer""[tiab] OR ""stratum pyramidale""[tiab] OR ""stratum radiatum""[tiab] OR ""stratum oriens""[tiab] OR ""dentate gyrus""[tiab] OR ""schaffer collateral""[tiab] OR ""schaffer collaterals""[tiab] OR ""mossy fiber""[tiab] OR ""mossy fibers""[tiab] OR ""perforant path""[tiab] OR ""hippocampal subfield""[tiab] OR ""hippocampal subfields""[tiab])))) AND (""2015""[PDAT] : ""2025""[PDAT])","((""hippocampal CA2""[tiab] OR ""CA2 region""[tiab] OR ""CA2 of the hippocampus""[tiab] OR ""CA2 pyramidal""[tiab] OR ""CA2 neurons""[tiab] OR ""CA2 area""[tiab] OR ""CA2 subfield""[tiab] OR (""CA2""[tiab] AND (""place cell""[tiab] OR ""place cells""[tiab] OR ""social memory""[tiab] OR ""pyramidal layer""[tiab] OR ""stratum pyramidale""[tiab] OR ""stratum radiatum""[tiab] OR ""stratum oriens""[tiab] OR ""dentate gyrus""[tiab] OR ""schaffer collateral""[tiab] OR ""schaffer collaterals""[tiab] OR ""mossy fiber""[tiab] OR ""mossy fibers""[tiab] OR ""perforant path""[tiab] OR ""hippocampal subfield""[tiab] OR ""hippocampal subfields""[tiab])))) AND (""2015""[PDAT] : ""2025""[PDAT])",1066,1066,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22hippocampal+CA2%22%5Btiab%5D+OR+%22CA2+region%22%5Btiab%5D+OR+%22CA2+of+the+hippocampus%22%5Btiab%5D+OR+%22CA2+pyramidal%22%5Btiab%5D+OR+%22CA2+neurons%22%5Btiab%5D+OR+%22CA2+area%22%5Btiab%5D+OR+%22CA2+subfield%22%5Btiab%5D+OR+%28%22CA2%22%5Btiab%5D+AND+%28%22place+cell%22%5Btiab%5D+OR+%22place+cells%22%5Btiab%5D+OR+%22social+memory%22%5Btiab%5D+OR+%22pyramidal+layer%22%5Btiab%5D+OR+%22stratum+pyramidale%22%5Btiab%5D+OR+%22stratum+radiatum%22%5Btiab%5D+OR+%22stratum+oriens%22%5Btiab%5D+OR+%22dentate+gyrus%22%5Btiab%5D+OR+%22schaffer+collateral%22%5Btiab%5D+OR+%22schaffer+collaterals%22%5Btiab%5D+OR+%22mossy+fiber%22%5Btiab%5D+OR+%22mossy+fibers%22%5Btiab%5D+OR+%22perforant+path%22%5Btiab%5D+OR+%22hippocampal+subfield%22%5Btiab%5D+OR+%22hippocampal+subfields%22%5Btiab%5D%29%29%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,https://eutils.ncbi.nlm.nih.gov/entrez/eutils/esearch.fcgi?db=pubmed&term=%28%28%22hippocampal+CA2%22%5Btiab%5D+OR+%22CA2+region%22%5Btiab%5D+OR+%22CA2+of+the+hippocampus%22%5Btiab%5D+OR+%22CA2+pyramidal%22%5Btiab%5D+OR+%22CA2+neurons%22%5Btiab%5D+OR+%22CA2+area%22%5Btiab%5D+OR+%22CA2+subfield%22%5Btiab%5D+OR+%28%22CA2%22%5Btiab%5D+AND+%28%22place+cell%22%5Btiab%5D+OR+%22place+cells%22%5Btiab%5D+OR+%22social+memory%22%5Btiab%5D+OR+%22pyramidal+layer%22%5Btiab%5D+OR+%22stratum+pyramidale%22%5Btiab%5D+OR+%22stratum+radiatum%22%5Btiab%5D+OR+%22stratum+oriens%22%5Btiab%5D+OR+%22dentate+gyrus%22%5Btiab%5D+OR+%22schaffer+collateral%22%5Btiab%5D+OR+%22schaffer+collaterals%22%5Btiab%5D+OR+%22mossy+fiber%22%5Btiab%5D+OR+%22mossy+fibers%22%5Btiab%5D+OR+%22perforant+path%22%5Btiab%5D+OR+%22hippocampal+subfield%22%5Btiab%5D+OR+%22hippocampal+subfields%22%5Btiab%5D%29%29%29%29+AND+%28%222015%22%5BPDAT%5D+%3A+%222025%22%5BPDAT%5D%29&retmode=json&rettype=count&tool=brain_region_prevalence&email=koerding%40gmail.com,2026-04-28,3.0282,0.4353,3.0282,0.4464
